da_asset_short_name|report_date|da_quantity|da_asset_id|intermediary_id|customer_type|table_id|is_digital_asset_outstanding|fiat_asset_id|customer_status|da_wallet_address|customer_code|is_update|fiat_quantity|da_asset_isin|customer_code_amlo
KAVALON|2025-03-10|200000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-1124A0520|1124A0520|F|-|-|-
KAVALON|2025-03-10|10000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|RI|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501025|112501025|F|-|-|-
KAVALON|2025-03-10|500000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112520624|112520624|F|-|-|-
KAVALON|2025-03-10|500000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|RI|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112401111|112401111|F|-|-|-
KAVALON|2025-03-10|300000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112401110|112401110|F|-|-|-
KAVALON|2025-03-10|20000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|RI|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501012|112501012|F|-|-|-
KAVALON|2025-03-10|100000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|RI|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501013|112501013|F|-|-|-
KAVALON|2025-03-10|500000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501100|112501100|F|-|-|-
KAVALON|2025-03-10|1000000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|UHNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501044|112501044|F|-|-|-
KAVALON|2025-03-10|150000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501153|112501153|F|-|-|-
KAVALON|2025-03-10|2000000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501021|112501021|F|-|-|-
KAVALON|2025-03-10|200000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501071|112501071|F|-|-|-
KAVALON|2025-03-10|2000000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-1123A0096|1123A0096|F|-|-|-
KAVALON|2025-03-10|200000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501061|112501061|F|-|-|-
KAVALON|2025-03-10|3000000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-1123A0099|1123A0099|F|-|-|-
KAVALON|2025-03-10|1000000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112520643|112520643|F|-|-|-
KAVALON|2025-03-10|4000000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|UHNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112520661|112520661|F|-|-|-
KAVALON|2025-03-10|200000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501108|112501108|F|-|-|-
KAVALON|2025-03-10|500000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|UHNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501220|112501220|F|-|-|-
KAVALON|2025-03-10|200000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|RI|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112401104|112401104|F|-|-|-
KAVALON|2025-03-10|100000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501156|112501156|F|-|-|-
KAVALON|2025-03-10|500000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|UHNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501067|112501067|F|-|-|-
KAVALON|2025-03-10|1000000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501117|112501117|F|-|-|-
KAVALON|2025-03-10|500000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112520610|112520610|F|-|-|-
KAVALON|2025-03-10|1000000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501047|112501047|F|-|-|-
KAVALON|2025-03-10|400000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501018|112501018|F|-|-|-
KAVALON|2025-03-10|30000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|RI|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501034|112501034|F|-|-|-
KAVALON|2025-03-10|10000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|RI|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501031|112501031|F|-|-|-
KAVALON|2025-03-10|10000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|RI|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501032|112501032|F|-|-|-
KAVALON|2025-03-10|500000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501035|112501035|F|-|-|-
KAVALON|2025-03-10|2000000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|UHNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501042|112501042|F|-|-|-
KAVALON|2025-03-10|500000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501057|112501057|F|-|-|-
KAVALON|2025-03-10|1000000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501119|112501119|F|-|-|-
KAVALON|2025-03-10|50000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|RI|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112501023|112501023|F|-|-|-
KAVALON|2025-03-10|200000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112520606|112520606|F|-|-|-
KAVALON|2025-03-10|100000.00000000|THDA0000000021|0105561177671|11|0105561177671;THDA0000000021;18|T|-|HNW|0xD387ad5Ea23De2CaF7493992BF60866c16aE3F5D-112520648|112520648|F|-|-|-
